,BLOCK_SIZE,num_warps,num_ctas,num_stages,maxnreg,runtime,compile_time,tokens,d,GPU
30,1024,4,1,1,None,0.03330514580011368,0.16345763206481934,8192,512,V100
31,8192,32,1,1,None,0.03331444039940834,0.16562271118164062,8192,512,V100
32,8192,4,1,3,None,0.034194305539131165,0.41860437393188477,8192,512,V100
33,8192,32,1,0,None,0.0333118699491024,0.16487598419189453,8192,512,V100
34,2048,32,1,5,None,0.03410397097468376,0.0015094280242919922,8192,512,V100
35,4096,1,1,2,None,0.03521279990673065,0.5954105854034424,8192,512,V100
36,256,8,1,1,None,0.03322678431868553,0.14157366752624512,8192,512,V100
37,2048,4,1,4,None,0.03419153019785881,0.19510269165039062,8192,512,V100
38,512,8,1,3,None,0.033647287636995316,0.14549589157104492,8192,512,V100
39,1024,1,1,5,None,0.033538829535245895,0.2642853260040283,8192,512,V100
40,512,16,1,0,None,0.03384380042552948,0.1376476287841797,8192,512,V100
41,2048,16,1,4,None,0.03289174288511276,0.15532279014587402,8192,512,V100
42,64,4,1,5,None,0.1045408695936203,0.14369797706604004,8192,512,V100
43,128,4,1,2,None,0.05354464799165726,0.13891959190368652,8192,512,V100
44,32,8,1,5,None,0.20673690736293793,0.14301490783691406,8192,512,V100
45,2048,32,1,4,None,0.03410070016980171,0.15535640716552734,8192,512,V100
46,16,32,1,1,None,1.3429129123687744,0.139251708984375,8192,512,V100
47,512,8,1,2,None,0.033644139766693115,0.0013434886932373047,8192,512,V100
48,32,2,1,5,None,0.206620454788208,0.13977575302124023,8192,512,V100
49,8192,8,1,2,None,0.034131236374378204,0.2541787624359131,8192,512,V100
50,128,2,1,3,None,0.053541794419288635,0.1418464183807373,8192,512,V100
51,32,16,1,4,None,0.3326701819896698,0.14386868476867676,8192,512,V100
52,256,2,1,4,None,0.03291500359773636,0.0014269351959228516,8192,512,V100
53,4096,16,1,3,None,0.03484708443284035,0.0014815330505371094,8192,512,V100
0,2048,8,1,1,None,3.8839430809020996,0.17023777961730957,16384,32768,V100
1,256,2,1,0,None,3.8855066299438477,0.00785517692565918,16384,32768,V100
2,128,1,1,4,None,6.5449981689453125,0.16231942176818848,16384,32768,V100
3,32,16,1,5,None,43.132415771484375,0.14021754264831543,16384,32768,V100
4,16,2,1,3,None,52.32640075683594,0.1401073932647705,16384,32768,V100
5,256,1,1,5,None,3.8850150108337402,0.16545796394348145,16384,32768,V100
6,64,32,1,2,None,46.882816314697266,0.13876080513000488,16384,32768,V100
7,4096,16,1,2,None,3.966771125793457,0.14857769012451172,16384,32768,V100
8,512,4,1,5,None,3.7939987182617188,0.007922649383544922,16384,32768,V100
9,1024,4,1,4,None,3.8280396461486816,0.16663837432861328,16384,32768,V100
10,2048,4,1,1,None,3.882352590560913,0.008029699325561523,16384,32768,V100
11,64,4,1,4,None,13.08496379852295,0.14582490921020508,16384,32768,V100
12,1024,1,1,1,None,3.8269338607788086,0.26370930671691895,16384,32768,V100
13,16,1,1,1,None,52.329471588134766,0.14318275451660156,16384,32768,V100
14,32,16,1,2,None,43.13497543334961,0.13988566398620605,16384,32768,V100
15,128,32,1,4,None,24.24883270263672,0.13436317443847656,16384,32768,V100
16,4096,2,1,2,None,3.9192166328430176,0.34952640533447266,16384,32768,V100
17,256,16,1,0,None,6.363067626953125,0.1327226161956787,16384,32768,V100
18,64,32,1,3,None,46.88844680786133,0.13931560516357422,16384,32768,V100
19,16,8,1,0,None,52.360191345214844,0.007944822311401367,16384,32768,V100
20,64,16,1,2,None,22.103296279907227,0.13647174835205078,16384,32768,V100
21,64,8,1,1,None,13.091840744018555,0.14133214950561523,16384,32768,V100
22,128,2,1,0,None,6.545681476593018,0.1421492099761963,16384,32768,V100
23,4096,1,1,3,None,4.007509231567383,0.008003950119018555,16384,32768,V100
24,8192,32,1,3,None,3.7935261726379395,0.16894316673278809,16384,32768,V100
25,32,2,1,3,None,26.169004440307617,0.14357376098632812,16384,32768,V100
26,1024,1,1,0,None,3.8273024559020996,0.2564094066619873,16384,32768,V100
27,512,8,1,0,None,3.82011079788208,0.14634346961975098,16384,32768,V100
28,16,2,1,5,None,52.33766555786133,0.1399989128112793,16384,32768,V100
29,4096,1,1,0,None,4.007125377655029,0.6042182445526123,16384,32768,V100
30,1024,4,1,1,None,3.8281216621398926,0.16383028030395508,16384,32768,V100
31,8192,32,1,1,None,3.793565511703491,0.1621098518371582,16384,32768,V100
32,8192,4,1,3,None,3.81412410736084,0.34360766410827637,16384,32768,V100
33,8192,32,1,0,None,3.7935261726379395,0.1691725254058838,16384,32768,V100
34,2048,32,1,5,None,4.027477264404297,0.15348482131958008,16384,32768,V100
35,4096,1,1,2,None,4.007552146911621,0.6011052131652832,16384,32768,V100
36,256,8,1,1,None,3.9274497032165527,0.134352445602417,16384,32768,V100
37,2048,4,1,4,None,3.882434606552124,0.1929609775543213,16384,32768,V100
38,512,8,1,3,None,3.820307731628418,0.14227652549743652,16384,32768,V100
39,1024,1,1,5,None,3.826974868774414,0.26848292350769043,16384,32768,V100
40,512,16,1,0,None,3.993642807006836,0.14351558685302734,16384,32768,V100
41,2048,16,1,4,None,3.890749454498291,0.1330397129058838,16384,32768,V100
42,64,4,1,5,None,13.085843086242676,0.14392495155334473,16384,32768,V100
43,128,4,1,2,None,6.54472541809082,0.12780165672302246,16384,32768,V100
44,32,8,1,5,None,26.174123764038086,0.13918423652648926,16384,32768,V100
45,2048,32,1,4,None,4.028160095214844,0.14472675323486328,16384,32768,V100
46,16,32,1,1,None,182.150146484375,0.14311599731445312,16384,32768,V100
47,512,8,1,2,None,3.8202288150787354,0.007972955703735352,16384,32768,V100
48,32,2,1,5,None,26.1713924407959,0.12974023818969727,16384,32768,V100
49,8192,8,1,2,None,3.8419251441955566,0.25541114807128906,16384,32768,V100
50,128,2,1,3,None,6.544247627258301,0.1452617645263672,16384,32768,V100
