,BLOCK_SIZE,num_warps,num_ctas,num_stages,num_buffers_warp_spec,num_consumer_groups,reg_dec_producer,reg_inc_consumer,maxnreg,runtime,compile_time,tokens,d,GPU
25,64,8,1,0,0.0,0.0,0.0,0.0,None,0.002805679338052869,0.1103219985961914,2048,16,V100
26,2048,1,1,2,0.0,0.0,0.0,0.0,None,0.005711603444069624,0.33031392097473145,2048,16,V100
0,8192,8,1,0,0.0,0.0,0.0,0.0,None,0.24646322429180145,0.2345106601715088,16384,2048,V100
1,128,4,1,3,0.0,0.0,0.0,0.0,None,0.41079312562942505,0.10741162300109863,16384,2048,V100
2,32,32,1,5,0.0,0.0,0.0,0.0,None,5.540683269500732,0.1105046272277832,16384,2048,V100
3,64,16,1,4,0.0,0.0,0.0,0.0,None,1.3672131299972534,0.1094048023223877,16384,2048,V100
4,16,4,1,0,0.0,0.0,0.0,0.0,None,3.2731478214263916,0.11571121215820312,16384,2048,V100
5,512,2,1,5,0.0,0.0,0.0,0.0,None,0.24112239480018616,0.13559269905090332,16384,2048,V100
6,512,2,1,1,0.0,0.0,0.0,0.0,None,0.241112619638443,0.12992405891418457,16384,2048,V100
7,2048,4,1,1,0.0,0.0,0.0,0.0,None,0.24739782512187958,0.17036771774291992,16384,2048,V100
8,1024,2,1,5,0.0,0.0,0.0,0.0,None,0.24291522800922394,0.16176676750183105,16384,2048,V100
9,8192,16,1,5,0.0,0.0,0.0,0.0,None,0.2427217662334442,0.16743087768554688,16384,2048,V100
10,2048,1,1,1,0.0,0.0,0.0,0.0,None,0.24674354493618011,0.33023786544799805,16384,2048,V100
11,16,8,1,1,0.0,0.0,0.0,0.0,None,3.274513006210327,0.10766339302062988,16384,2048,V100
12,32,8,1,0,0.0,0.0,0.0,0.0,None,1.6371155977249146,0.11195707321166992,16384,2048,V100
13,1024,16,1,4,0.0,0.0,0.0,0.0,None,0.2436635047197342,0.11524176597595215,16384,2048,V100
14,64,32,1,1,0.0,0.0,0.0,0.0,None,2.8774399757385254,0.11401724815368652,16384,2048,V100
15,4096,16,1,3,0.0,0.0,0.0,0.0,None,0.25563111901283264,0.13380193710327148,16384,2048,V100
16,256,2,1,4,0.0,0.0,0.0,0.0,None,0.2399815171957016,0.12373733520507812,16384,2048,V100
18,256,4,1,4,0.0,0.0,0.0,0.0,None,0.23818860948085785,0.1133265495300293,16384,2048,V100
19,512,32,1,5,0.0,0.0,0.0,0.0,None,0.4356124997138977,0.10731267929077148,16384,2048,V100
20,16,32,1,2,0.0,0.0,0.0,0.0,None,10.574278831481934,0.10437369346618652,16384,2048,V100
22,128,2,1,2,0.0,0.0,0.0,0.0,None,0.4108995199203491,0.11262989044189453,16384,2048,V100
23,1024,1,1,2,0.0,0.0,0.0,0.0,None,0.24220038950443268,0.22942113876342773,16384,2048,V100
24,8192,1,1,2,0.0,0.0,0.0,0.0,None,0.6714277863502502,1.3726451396942139,16384,2048,V100
25,64,8,1,0,0.0,0.0,0.0,0.0,None,0.8198973536491394,0.11330962181091309,16384,2048,V100
26,2048,1,1,2,0.0,0.0,0.0,0.0,None,0.24677518010139465,0.33090710639953613,16384,2048,V100
0,8192,8,1,0,0.0,0.0,0.0,0.0,None,0.12305815517902374,0.22434711456298828,512,8192,V100
1,128,4,1,3,0.0,0.0,0.0,0.0,None,0.053691316395998,0.11263251304626465,512,8192,V100
2,32,32,1,5,0.0,0.0,0.0,0.0,None,0.697095513343811,0.11205339431762695,512,8192,V100
3,64,16,1,4,0.0,0.0,0.0,0.0,None,0.1717093139886856,0.1297321319580078,512,8192,V100
4,16,4,1,0,0.0,0.0,0.0,0.0,None,0.41060587763786316,0.11842942237854004,512,8192,V100
5,512,2,1,5,0.0,0.0,0.0,0.0,None,0.03283481299877167,0.1432042121887207,512,8192,V100
6,512,2,1,1,0.0,0.0,0.0,0.0,None,0.03284067288041115,0.1411745548248291,512,8192,V100
7,2048,4,1,1,0.0,0.0,0.0,0.0,None,0.033303163945674896,0.16503214836120605,512,8192,V100
8,1024,2,1,5,0.0,0.0,0.0,0.0,None,0.033664606511592865,0.1669001579284668,512,8192,V100
9,8192,16,1,5,0.0,0.0,0.0,0.0,None,0.12446414679288864,0.16533398628234863,512,8192,V100
10,2048,1,1,1,0.0,0.0,0.0,0.0,None,0.04059342294931412,0.33110928535461426,512,8192,V100
11,16,8,1,1,0.0,0.0,0.0,0.0,None,0.41089585423469543,0.11557698249816895,512,8192,V100
12,32,8,1,0,0.0,0.0,0.0,0.0,None,0.2068749964237213,0.11337113380432129,512,8192,V100
13,1024,16,1,4,0.0,0.0,0.0,0.0,None,0.033470362424850464,0.1172950267791748,512,8192,V100
14,64,32,1,1,0.0,0.0,0.0,0.0,None,0.36126071214675903,0.11348199844360352,512,8192,V100
15,4096,16,1,3,0.0,0.0,0.0,0.0,None,0.06194053217768669,0.1343400478363037,512,8192,V100
16,256,2,1,4,0.0,0.0,0.0,0.0,None,0.03230917826294899,0.12195777893066406,512,8192,V100
18,256,4,1,4,0.0,0.0,0.0,0.0,None,0.03209646791219711,0.11916828155517578,512,8192,V100
19,512,32,1,5,0.0,0.0,0.0,0.0,None,0.057143304497003555,0.11354899406433105,512,8192,V100
20,16,32,1,2,0.0,0.0,0.0,0.0,None,1.3210301399230957,0.11322641372680664,512,8192,V100
