,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
163,2048,2,1,0.754688024520874,7027,12288,V100
164,1024,32,2,0.7741439938545227,7027,12288,V100
165,2048,2,2,0.754688024520874,7027,12288,V100
166,1024,1,5,0.796671986579895,7027,12288,V100
167,64,16,1,3.896320104598999,7027,12288,V100
168,64,4,2,2.14630389213562,7027,12288,V100
169,8192,16,4,7.784960031509399,14881,58650,V100
170,128,2,4,17.100799560546875,14881,58650,V100
171,32,32,4,154.8789825439453,14881,58650,V100
172,128,2,3,17.113088607788086,14881,58650,V100
173,16,2,5,85.15277099609375,14881,58650,V100
174,128,8,1,17.045503616333008,14881,58650,V100
175,512,8,2,9.005568027496338,14881,58650,V100
176,2048,1,0,8.014847755432129,14881,58650,V100
177,64,2,1,26.12735939025879,14881,58650,V100
178,128,16,1,3.1201279163360596,14116,9306,V100
179,8192,32,0,0.9902080297470093,14116,9306,V100
180,16,16,5,20.229631423950195,14116,9306,V100
181,8192,4,5,0.997376024723053,14116,9306,V100
182,64,2,1,3.2122879028320312,14116,9306,V100
183,16,1,5,12.819456100463867,14116,9306,V100
184,64,1,5,3.2122879028320312,14116,9306,V100
185,16,4,2,12.818431854248047,14116,9306,V100
186,4096,8,0,1.0383360385894775,14116,9306,V100
187,256,32,5,3.4094079732894897,14116,9306,V100
188,1024,1,5,0.02252800017595291,5333,345,V100
189,4096,8,2,0.02252800017595291,5333,345,V100
190,16,8,5,0.18534399569034576,5333,345,V100
191,2048,4,0,0.020479999482631683,5333,345,V100
192,2048,1,0,0.026623999699950218,5333,345,V100
193,16,4,4,0.18432000279426575,5333,345,V100
194,16,16,3,0.2815999984741211,5333,345,V100
195,1024,8,0,0.020479999482631683,5333,345,V100
196,64,8,5,0.05119999870657921,5333,345,V100
197,64,32,2,0.1669120043516159,5333,345,V100
