,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
465,1024,4,5,0.05632000043988228,7191,546,L40S
466,32,32,2,0.48947200179100037,7191,546,L40S
467,4096,8,4,0.05222399905323982,7191,546,L40S
468,2048,8,3,0.05427199974656105,7191,546,L40S
469,2048,1,2,0.05119999870657921,7191,546,L40S
470,16,1,2,2.722815990447998,7191,546,L40S
471,2048,1,0,2.6767361164093018,7191,546,L40S
472,2048,2,2,2.7258880138397217,7191,546,L40S
473,8192,8,5,2.6705920696258545,7191,546,L40S
474,32,2,5,2.6818559169769287,7191,546,L40S
475,8192,2,0,2.659327983856201,7191,546,L40S
476,64,16,1,2.7555840015411377,7191,546,L40S
477,256,1,2,2.683903932571411,7191,546,L40S
478,8192,2,1,2.718719959259033,7191,546,L40S
479,2048,2,3,2.7412478923797607,7191,546,L40S
480,512,32,5,0.048128001391887665,8871,240,L40S
481,4096,8,2,0.027648000046610832,8871,240,L40S
482,64,1,1,0.03577600046992302,8871,240,L40S
483,256,16,2,0.035840000957250595,8871,240,L40S
484,128,32,2,0.09523200243711472,8871,240,L40S
485,1024,4,5,0.028672000393271446,8871,240,L40S
486,32,32,2,0.2754560112953186,8871,240,L40S
487,4096,8,4,0.026623999699950218,8871,240,L40S
488,2048,8,3,0.027648000046610832,8871,240,L40S
489,2048,1,2,0.025599999353289604,8871,240,L40S
490,8192,1,4,3.201535940170288,8871,240,L40S
491,2048,2,4,2.8989439010620117,8871,240,L40S
492,2048,1,0,2.7545599937438965,8871,240,L40S
493,16,8,3,2.7504639625549316,8871,240,L40S
494,16,32,1,2.75763201713562,8871,240,L40S
495,256,8,4,2.738176107406616,8871,240,L40S
496,1024,4,1,2.7453439235687256,8871,240,L40S
497,16,32,5,2.738176107406616,8871,240,L40S
498,8192,2,3,2.7351040840148926,8871,240,L40S
499,4096,8,1,2.726912021636963,8871,240,L40S
500,512,32,5,0.05427199974656105,12466,203,L40S
501,4096,8,2,0.027648000046610832,12466,203,L40S
502,64,1,1,0.03891199827194214,12466,203,L40S
503,256,16,2,0.04095999896526337,12466,203,L40S
504,128,32,2,0.11059200018644333,12466,203,L40S
505,1024,4,5,0.03174399957060814,12466,203,L40S
506,32,32,2,0.3246400058269501,12466,203,L40S
507,4096,8,4,0.027135999873280525,12466,203,L40S
508,2048,8,3,0.02969600073993206,12466,203,L40S
509,2048,1,2,0.027648000046610832,12466,203,L40S
510,4096,8,0,2.7064318656921387,12466,203,L40S
511,2048,2,4,3.516416072845459,12466,203,L40S
512,16,8,4,2.762784004211426,12466,203,L40S
